一	一ＹＩ
什	亻十Ｓ
仁	亻二Ｒ
仂	亻力Ｌ
仃	亻丁Ｄ
仄	厂人Ｚ
仅	亻又Ｊ
仆	亻卜Ｐ
仇	亻九Ｃ
仇	亻九Ｑ
仉	亻几Ｚ
今	亽乛Ｊ
介	人刂Ｊ
仍	亻乃Ｒ
从	人人Ｃ
仑	人匕Ｌ
仓	仓ＣＧ
仔	亻子Ｚ
仕	亻士Ｓ
他	亻也Ｔ
仗	亻丈Ｚ
付	亻寸Ｆ
仙	亻山Ｘ
仝	人工Ｔ
仞	亻刀丶
仟	亻千Ｑ
仡	亻人乙
代	代ＤＩ
令	亽龴Ｌ
以	以ＹＩ
仨	亻三Ｓ
仪	亻丶乂
仫	亻丿厶
们	亻门Ｍ
仰	亻Ｃ卩
仲	亻口丨
仳	亻比Ｐ
仵	亻午Ｗ
件	亻牛Ｊ
价	亻人刂
任	亻壬Ｒ
份	亻分Ｆ
仿	亻方Ｆ
企	人止Ｑ
伉	亻亠几
伊	亻彐丿
伍	亻五Ｗ
伎	亻十又
伏	亻大丶
伐	亻戈Ｆ
休	亻木Ｘ
众	人人人
优	亻尢丶
伙	亻火Ｈ
会	人云Ｈ
会	人云Ｋ
伛	亻匚乂
伞	人丷十
伟	亻二卩
传	亻二龴
伢	亻一才
伤	亻人力
伥	亻长Ｃ
伦	亻人匕
伧	亻仓Ｃ
伪	亻冫力
伫	亻宀一
伯	亻白Ｂ
估	亻古Ｇ
伲	亻尸匕
伴	亻半Ｂ
伶	亻亽龴
伸	亻日丨
伺	亻亅一
似	亻以Ｓ
伽	亻加Ｊ
伽	亻加Ｇ
伽	亻加Ｑ
佃	亻田Ｄ
但	亻日一
位	亻立Ｗ
低	亻Ｃ七
住	亻主Ｚ
佐	亻厂工
佑	亻厂口
体	亻木一
何	亻可Ｈ
佗	亻宀匕
佘	人示Ｓ
余	余ＹＵ
佚	亻失Ｙ
佛	亻弓刂
作	亻乍Ｚ
佝	亻勹口
佞	亻二女
佟	亻夂冫
你	亻刀小
佣	亻用Ｙ
佤	亻瓦Ｗ
佥	亼兴Ｑ
佩	亻几一
佬	亻耂匕
佯	亻羊Ｙ
佰	亻丆日
佳	亻圭Ｊ
佴	亻耳Ｎ
佶	亻吉Ｊ
佻	亻ＫＫ
佼	亻亠父
佾	亻八冃
使	亻丈口
侃	亻口川
侄	亻一土
侈	亻夕夕
侉	亻大Ｓ
例	亻歹刂
侍	亻土寸
侏	亻朱Ｚ
侑	亻厂冃
侔	亻厶牛
侗	亻冂一
供	亻龷八
依	亻衣Ｙ
侠	亻夫丷
侣	亻口口
侥	亻戈儿
侦	亻卜贝
侧	亻贝刂
侨	亻丿刂
侩	亻人云
侪	亻文刂
侬	亻巾ｒ
侮	亻人母
侯	亻尸矢
侵	亻彐又
便	亻丈日
促	亻足Ｃ
俄	亻手戈
俅	亻氺丶
俊	亻厶夂
俎	人人且
俏	亻Ｍ冃
俐	亻禾刂
俑	亻龴用
俗	亻谷Ｓ
俘	亻爫子
俚	亻里Ｌ
俜	亻由丂
保	亻口木
俞	亼前Ｙ
俟	亻厶矢
信	亻言Ｘ
俣	亻口大
俦	亻丰寸
俨	亻亚丿
俩	亻两Ｌ
俪	亻一冂
俭	亻亼兴
修	亻夂彡
俯	亻广寸
俱	亻且八
俳	亻非Ｐ
俸	亻<春上>干
俺	亻大乚
俾	亻卑卑
倌	亻宀官
倍	亻立口
倏	亻夂大
倒	亻一刂
倔	亻尸出
倘	亻尚Ｔ
候	亻尸矢
倚	亻大可
倜	亻冂土
借	亻龷日
倡	亻日日
倥	亻穴工
倦	亻龹㔾
倨	亻尸古
倩	亻青Ｑ
倪	亻臼儿
倬	亻卜十
倭	亻禾女
倮	亻日木
债	亻龶贝
值	亻十且
倾	亻匕页
偃	亻匚日
假	亻尸又
偈	亻日勹
偌	亻艹口
偎	亻田ｒ
偏	亻户冊
偕	亻比白
做	亻古攵
停	亻亮丁
健	亻彐廴
偬	亻勹心
偶	亻甲冂
偷	亻亼前
偻	亻米女
偾	亻十贝
偿	亻龸云
傀	亻白儿
傅	亻甫寸
傈	亻覀木
傍	亻旁方
傣	亻<春上>氺
傥	亻尚儿
傧	亻穴丘
储	亻讠者
傩	亻又隹
催	亻山隹
傲	亻敖Ａ
傺	亻祭示
傻	亻白夂
像	亻象Ｘ
僖	亻吉口
僚	亻大小
僦	亻尢丶
僧	亻丷日
僬	亻焦Ｊ
僭	亻旡日
僮	亻立里
僳	亻覀米
僵	亻一一
僻	亻尸辛
儆	亻艹攵
儇	亻罒ｒ
儋	亻刀言
儒	亻雨皿
儡	亻田田
儿	儿ＥＲ
兀	一儿Ｗ
允	厶儿Ｙ
元	元ＹＮ
兄	口儿Ｘ
充	充儿Ｃ
兆	ＫＫＺ
先	牛儿Ｘ
光	Ｍ一儿
克	古儿Ｋ
免	刀口儿
兑	丷口儿
兔	兔ＴＵ
兕	凹儿Ｓ
兖	亠八儿
党	尚儿Ｄ
兜	Ｃ尸儿
兢	古儿儿
入	丿丶Ｒ
全	全ＱＮ
八	八ＢＡ
公	八厶Ｇ
六	亠八Ｌ
兮	八丂Ｘ
兰	首二Ｌ
共	龷八Ｇ
关	丷大Ｇ
兴	兴八Ｘ
兵	丘八Ｂ
其	其ＱＩ
具	且八Ｊ
典	冂龷八
兹	首幺幺
养	羊丶刂
兼	首彐兼
兽	丷田口
冀	丬匕八
冁	丷十ｒ
内	内ＮＩ
冈	冂乂Ｇ
冉	冂土Ｒ
册	册ＣＥ
再	王冂Ｚ
冒	日目Ｍ
冕	日刀儿
冗	冖几Ｒ
写	冖与Ｘ
军	冖车Ｊ
农	巾ｒＮ
冠	冖元寸
冢	冖豕丶
冤	冖兔Ｙ
冥	冖日八
冬	夂冫Ｄ
冯	冫马Ｆ
冰	冫水Ｂ
冱	冫一彑
冲	冫口丨
决	冫夬Ｊ
况	冫口儿
冶	冫厶口
冷	冫亽龴
冻	冫七小
冼	冫牛儿
冽	冫歹刂
净	冫刀亅
凄	冫十女
准	冫隹Ｚ
凇	冫八厶
凉	冫高小
凋	冫冂土
凌	冫土夂
减	冫戊一
凑	冫<春上>大
凛	冫亠示
凝	冫龴止
几	几ＪＩ
凡	几丶Ｆ
凤	几又Ｆ
凫	鸟几Ｆ
凭	亻壬几
凯	山己几
凰	几白王
凳	癶一几
凶	乂凵Ｘ
凸	凸ＴＵ
凹	凹ＡＯ
出	出ＣＵ
击	干凵Ｊ
凼	水凵Ｄ
函	乛氺凵
凿	业首凵
刀	刀ＤＯ
刁	亅一Ｄ
刃	刀丶Ｒ
分	分ＦＮ
切	七刀Ｑ
刈	乂刂Ｙ
刊	干刂Ｋ
刍	刀彐Ｃ
刎	勹彳刂
刑	一廾刂
划	戈刂Ｈ
刖	月刂Ｙ
列	歹刂Ｌ
刘	文刂Ｌ
则	贝刂Ｚ
刚	冂乂刂
创	仓刂Ｃ
初	衤刀Ｃ
删	册刂Ｓ
判	半刂Ｐ
刨	包刂Ｐ
刨	包刂Ｂ
利	禾刂Ｌ
别	另刂Ｂ
刭	又工刂
刮	舌刂Ｇ
到	一土刂
刳	大Ｓ刂
制	牛冂刂
刷	尸巾刂
券	龹刀Ｑ
券	龹刀Ｘ
刹	乂朩刂
刺	木冂刂
刻	亥刂Ｋ
刽	人云刂
刿	山夕刂
剀	山己刂
剁	几木刂
剂	文刂刂
剃	丷丿刂
削	Ｍ冃刂
剌	木口刂
前	首前Ｑ
剐	口内刂
剑	亼兴刂
剔	日彳刂
剖	立口刂
剜	宀夕刂
剞	大可刂
剡	火火刂
剥	彐水刂
剧	尸古刂
剩	禾丬刂
剪	首前刀
副	畐刂Ｆ
割	宀口刂
剽	覀示刂
剿	巛木刂
劁	焦刂Ｑ
劂	厂丷刂
劈	尸辛刀
劐	艹又刂
劓	丿丌刂
力	力ＬＩ
劝	又力Ｑ
办	力八Ｂ
功	工力Ｇ
加	加ＪＡ
务	夂力Ｗ
劢	丆亅力
劣	少力Ｌ
动	云力Ｄ
助	且力Ｚ
努	女又力
劫	土厶力
劬	勹口力
劭	召力Ｓ
励	厂丆力
劲	又工力
劳	营力Ｌ
劾	亥力Ｈ
势	执执力
勃	十子力
勇	龴用力
勉	刀儿力
勋	口贝力
勐	子皿力
勒	革力Ｌ
勖	日目力
勘	其乚力
募	莫力Ｍ
勤	廿龶力
勰	力力心
勺	勹丶Ｓ
勾	勹厶Ｇ
勿	勹彳Ｗ
匀	勹冫Ｙ
包	包ＢＯ
匆	勹彳丶
匈	勹乂凵
匍	勹甫Ｐ
匏	大Ｓ包
匐	勹畐Ｆ
匕	匕ＢＩ
化	亻匕Ｈ
北	丬匕Ｂ
匙	日止匕
匝	匚巾Ｚ
匠	匚斤Ｊ
匡	匚王Ｋ
匣	匚甲Ｘ
匦	匚车九
匪	匚非Ｆ
匮	匚贵Ｋ
匹	匚儿Ｐ
区	匚乂Ｑ
区	匚乂Ｏ
医	匚矢Ｙ
匾	匚户冊
匿	匚艹厂
十	十ＳＩ
千	千ＱＮ
卅	卅ＳＡ
升	丿廾Ｓ
午	午ＷＵ
卉	十廾Ｈ
半	半ＢＮ
华	亻匕十
协	十力八
卑	卑卑Ｂ
卒	亠人十
卓	卜日十
单	丷日十
卖	十乛头
南	Ｍ首十
博	十甫寸
卜	卜ＢＵ
卜	卜ＢＯ
卞	亠卜Ｂ
卟	口卜Ｂ
占	占占Ｚ
卡	卜下Ｋ
卡	卜下Ｑ
卢	卜尸Ｌ
卣	卜囗尸
卤	卜囗乂
卦	圭卜Ｇ
卧	匚丨卜
卫	卩一Ｗ
卮	Ｆ㔾Ｚ
卯	Ｇ卩Ｍ
印	Ｅ卩Ｙ
危	刀厂㔾
即	艮卩Ｊ
却	土厶卩
卵	Ｇ冫卩
卷	龹㔾Ｊ
卸	人止卩
卺	乛水㔾
卿	Ｇ艮卩
厂	厂ＣＧ
厄	厂㔾Ｅ
厅	厂丁Ｔ
历	厂力Ｌ
厉	厂丆亅
压	厂土丶
厌	厂大丶
厍	厂车Ｓ
厕	厂贝刂
厘	厂里Ｌ
厚	厂日子
厝	厂龷日
原	厂白小
厢	厂木目
厣	厂大甲
厥	厂丷欠
厦	厂丆夂
厨	厂一寸
厩	厂艮旡
厮	厂其斤
去	土厶Ｑ
县	且厶Ｘ
叁	厶大三
参	厶大彡
又	又ＹＵ
叉	又丶Ｃ
及	及ＪＩ
友	厂又Ｙ
双	又又Ｓ
反	反反Ｆ
发	发ＦＡ
叔	卜小又
取	耳又Ｑ
受	受ＳＵ
变	亦又Ｂ
叙	余又Ｘ
叛	半反反
叟	叟ＳＵ
叠	又又且
口	口ＫＵ
古	古ＧＵ
句	勹口Ｊ
句	勹口Ｇ
另	另ＬＧ
叨	口刀Ｄ
叨	口刀Ｔ
叩	口卩Ｋ
只	口八Ｚ
叫	口丩Ｊ
召	召ＺＯ
召	召ＳＯ
叭	口八Ｂ
叮	口丁Ｄ
可	可ＫＥ
台	厶口Ｔ
叱	口匕Ｃ
史	口乂Ｓ
右	厂口Ｙ
叵	匚口Ｐ
叶	口十Ｙ
叶	口十Ｘ
号	口丂Ｈ
司	亅一口
叹	口又Ｔ
叻	口力Ｌ
叼	口亅一
叽	口几Ｊ
吁	口于Ｙ
吁	口于Ｘ
吃	口人乙
各	各ＧＥ
吆	口幺Ｙ
合	亼口Ｈ
合	亼口Ｇ
吉	吉ＪＩ
吊	口巾Ｄ
同	冂一口
名	夕口Ｍ
后	Ｆ口Ｈ
吏	丈口Ｌ
吐	口土Ｔ
向	白口Ｘ
吒	口丿七
吓	口下Ｘ
吓	口下Ｈ
吕	口口Ｌ
吖	口丷丨
吗	口马Ｍ
君	彐丿口
吝	文口Ｌ
吞	一大口
吟	口亽乛
吠	口大丶
吡	口比Ｂ
吣	口心Ｑ
否	不口Ｆ
否	不口Ｐ
吧	口巴Ｂ
吨	口七凵
吩	口分Ｆ
含	亽乛口
听	口斤Ｔ
吭	口亠几
吮	口厶儿
启	户口Ｑ
吱	口十又
吲	口弓丨
吴	口一大
吵	口少Ｃ
吸	口及Ｘ
吹	口欠Ｃ
吻	口勹彳
吼	口子乚
吾	五口Ｗ
呀	口一才
呃	口厂㔾
呆	口木Ｄ
呈	口王Ｃ
告	告ＧＯ
呋	口夫Ｆ
呐	口内Ｎ
呒	口干乚
呓	口艹乙
呔	口大丶
呕	口匚乂
呖	口厂力
呗	口贝Ｂ
员	口贝Ｙ
呙	口内Ｇ
呛	口仓Ｑ
呜	口乌Ｗ
呢	口尸匕
呤	口亽龴
呦	口幺力
周	冂土口
呱	口瓜Ｇ
呲	口止匕
味	口未Ｗ
呵	口可Ｈ
呶	口女又
呷	口甲Ｘ
呸	口不一
呻	口日丨
呼	口丿丁
命	亼口卩
咀	口且Ｊ
咀	口且Ｚ
咂	口匚巾
咄	口出Ｄ
咆	口包Ｐ
咋	口乍Ｚ
和	禾口Ｈ
咎	夂卜口
咏	口丶水
咐	口亻寸
咒	口口几
咔	口卜下
咕	口古Ｇ
咖	口加Ｋ
咖	口加Ｇ
咙	口龙Ｌ
咚	口夂冫
咛	口宁Ｎ
咝	口丝一
咣	口Ｍ儿
咤	口宀七
咦	口大弓
咧	口歹刂
咨	冫欠口
咩	口羊Ｍ
咪	口米Ｍ
咫	尺口八
咬	口亠父
咯	口各Ｋ
咯	口各Ｌ
咯	口各Ｇ
咱	口丿目
咳	口亥Ｋ
咳	口亥Ｈ
咴	口厂火
咸	戊一口
咻	口亻木
咽	口囗大
咿	口彐丿
哀	衣口Ａ
品	口口口
哂	口西Ｓ
哄	口龷八
哆	口夕夕
哇	口圭Ｗ
哈	口亼口
哉	十戈口
哌	口厂ｒ
响	口白口
哎	口艹乂
哏	口艮Ｇ
哐	口匚王
哑	口亚Ｙ
哒	口大辶
哓	口戈儿
哔	口比十
哕	口山夕
哗	口匕十
哙	口人云
哚	口几木
哝	口巾ｒ
哞	口厶牛
哟	口纟勹
哥	可可Ｇ
哦	口手戈
哧	口土亦
哨	口Ｍ冃
哩	口里Ｌ
哪	口月阝
哭	口口大
哮	口耂子
哲	扌斤口
哳	口扌斤
哺	口甫Ｂ
哼	口高亅
哽	口丈日
哿	加可Ｇ
唁	口言Ｙ
唆	口厶夂
唇	厂ｒ口
唉	口厶矢
唏	口乂巾
唐	广彐口
唑	口人土
唔	口五口
唛	口龶夂
唠	口营力
唢	口Ｍ贝
唣	口白七
唤	口刀大
唧	口艮卩
唪	口<春上>干
唬	口虍几
售	隹口Ｓ
唯	口隹Ｗ
唰	口尸刂
唱	口日日
唳	口户大
唷	口充冃
唼	口立女
唾	口千垂
唿	口勹心
啁	口冂土
啃	口止冃
啄	口豕丶
商	商ＳＧ
啉	口林Ｌ
啊	口阝可
啐	口亠十
啕	口勹缶
啖	口火火
啜	口又又
啡	口非Ｆ
啤	口卑卑
啥	口亼古
啦	口扌立
啧	口龶贝
啪	口扌白
啬	十首囗
啭	口二龴
啮	口止凵
啵	口氵皮
啶	口宀止
啷	口丶阝
啸	口彐川
啻	旁巾口
啼	口旁巾
啾	口禾火
喀	口宀各
喁	口甲冂
喂	口田ｒ
喃	口Ｍ首
善	羊首口
喇	口木刂
喈	口比白
喉	口尸矢
喊	口戊一
喋	口世木
喏	口艹口
喑	口立日
喔	口尸土
喘	口山皿
喙	口彑豕
喜	吉首口
喝	口日勹
喟	口田冃
喧	口宀一
喱	口厂里
喳	口木一
喵	口艹田
喷	口十贝
喹	口大圭
喻	口亼前
喽	口米女
喾	学告Ｋ
嗄	口丆夂
嗅	口丿大
嗉	口龶小
嗌	口首皿
嗍	口丷月
嗑	口土皿
嗒	口艹口
嗓	口又木
嗔	口十八
嗖	口叟Ｓ
嗜	口耂日
嗝	口一冂
嗟	口羊工
嗡	口八羽
嗣	口冊亅
嗤	口屮虫
嗥	口白十
嗦	口十小
嗨	口人母
嗪	口<春上>禾
嗫	口耳又
嗬	口艹可
嗯	口囗心
嗲	口父夕
嗳	口爱爱
嗵	口龴辶
嗷	口敖Ａ
嗽	口木欠
嗾	口族矢
嘀	口啇Ｄ
嘁	口戊卜
嘈	口西日
嘉	吉首加
嘌	口覀示
嘎	口丆戈
嘏	古尸又
嘘	口虍业
嘛	口广林
嘞	口革力
嘟	口者阝
嘣	口山月
嘤	口贝女
嘧	口宀山
嘬	口日又
嘭	口吉彡
嘱	口尸冂
嘲	口十月
嘴	口匕用
嘶	口其斤
嘹	口大小
嘻	口吉口
嘿	口黑Ｈ
噌	口丷日
噍	口焦Ｊ
噎	口士首
噔	口癶首
噗	口业丶
噘	口厂欠
噙	口人冂
噜	口鱼日
噢	口白大
噤	口林示
器	口口口
噩	王口口
噪	口口木
噫	口立心
噬	口竹工
噱	口虍豕
噶	口艹勹
噻	口宀土
噼	口尸辛
嚅	口雨皿
嚆	口艹高
嚎	口亮豕
嚏	口十止
嚓	口宀示
嚣	口口口
嚯	口雨隹
嚷	口衣口
嚼	口爫寸
囊	十口ｒ
囔	口十ｒ
囚	囗人Ｑ
四	囗儿Ｓ
回	囗口Ｈ
囟	白乂Ｘ
因	囗大Ｙ
囡	囗女Ｎ
团	囗才Ｔ
囤	囗七凵
囫	囗勹彳
园	囗元Ｙ
困	囗木Ｋ
囱	白夂Ｃ
围	囗二卩
囵	囗人匕
囹	囗亽龴
固	囗古Ｇ
国	囗王丶
图	囗夂冫
囿	囗厂冃
圃	囗甫Ｐ
圄	囗五口
圆	囗口贝
圈	囗龹㔾
圉	囗土首
圊	囗青Ｑ
圜	囗罒一
土	土ＴＵ
圣	又土Ｓ
在	Ｐ土Ｚ
圩	土于Ｗ
圩	土于Ｘ
圪	土人乙
圬	土二Ｓ
圭	圭ＧＩ
圮	土己Ｐ
圯	土巳Ｙ
地	土也Ｄ
圳	土川Ｚ
圹	土广Ｋ
场	土Ｊ彳
圻	土斤Ｑ
圾	土及Ｊ
址	土止Ｚ
坂	土反反
均	土勹冫
坊	土方Ｆ
坌	分土Ｂ
坍	土冂亠
坎	土欠Ｋ
坏	土不Ｈ
坐	人人土
坑	土亠几
块	土夬Ｋ
坚	刂又土
坛	土云Ｔ
坜	土厂力
坝	土贝Ｂ
坞	土乌Ｗ
坟	土文Ｆ
坠	阝人土
坡	土皮Ｐ
坤	土日丨
坦	土日一
坨	土宀匕
坩	土廿一
坪	土干丷
坫	土占占
坭	土尸匕
坯	土不一
坳	土幺力
坷	土可Ｋ
坻	土Ｃ七
坼	土斤丶
垂	千垂Ｃ
垃	土立Ｌ
垄	龙土Ｌ
垆	土卜尸
型	一刂土
垌	土冂一
垒	厶厶土
垓	土亥Ｇ
垛	土几木
垠	土艮Ｙ
垡	亻戈土
垢	土Ｆ口
垣	土一一
垤	土一土
垦	艮土Ｋ
垧	土白口
垩	亚土Ｅ
垫	执执土
垭	土亚Ｙ
垮	土大Ｓ
垲	土山己
垴	土文凵
垸	土宀元
埂	土丈日
埃	土厶矢
埋	土里Ｍ
城	土戊亅
埏	土丿廴
埒	土爫寸
埔	土甫Ｐ
埔	土甫Ｂ
埕	土口王
埘	土日寸
埙	土口贝
埚	土口内
埝	土亽心
域	土戈口
埠	土追十
埤	土卑卑
埭	土彐水
埯	土大乚
埴	土十且
埸	土日勹
培	土立口
基	其土Ｊ
埽	土彐巾
堂	尚土Ｔ
堆	土隹Ｄ
堇	廿口龶
堋	土月月
堍	土兔Ｔ
堑	车斤土
堕	阝厂土
堙	土覀土
堞	土世木
堠	土尸矢
堡	亻口土
堤	土日止
堪	土其乚
堰	土匚日
堵	土者Ｄ
塄	土罒方
塌	土日羽
塍	月龹土
塑	丷月土
塔	土艹口
塘	土广口
塞	宀井土
塥	土一冂
填	土十八
塬	土厂小
塾	高九土
墀	土尸牛
墁	土日又
境	土竟Ｊ
墅	里龴土
墉	土广冃
墒	土商Ｓ
墓	莫土Ｍ
墙	土十囗
墚	土刀木
增	土丷日
墟	土虍业
墨	黑土Ｍ
墩	土高攵
墼	車殳土
壁	尸辛土
壅	亠丝土
壑	卜又土
壕	土亮豕
壤	土衣口
士	士ＳＩ
壬	壬ＲＮ
壮	丬士Ｚ
声	声ＳＧ
壳	士冖几
壶	士冖业
壹	士冖首
处	夂卜Ｃ
备	夂田Ｂ
复	人日夂
夏	丆目夂
夔	首丿夂
夕	夕ＸＩ
外	夕卜Ｗ
夙	几歹Ｓ
多	夕夕Ｄ
夜	亠亻夂
够	勹口夕
夤	夕穴一
夥	日木夕
大	大ＤＡ
大	大ＤＩ
天	一大Ｔ
太	大丶Ｔ
夫	夫ＦＵ
夭	丿大Ｙ
央	央ＹＧ
夯	大力Ｈ
失	失ＳＩ
头	头ＴＵ
夷	大弓Ｙ
夸	大二Ｓ
夹	夫丷Ｊ
夹	夫丷Ｇ
夺	大寸Ｄ
夼	大川Ｋ
奁	大匚乂
奂	刀冂大
奄	大日乚
奇	大可Ｑ
奇	大可Ｊ
奈	大示Ｎ
奉	<春上>干Ｆ
奋	大田Ｆ
奎	大圭Ｋ
奏	<春上>一大
契	丰刀大
奔	大十廾
奕	亦大Ｙ
奖	丬夕大
套	大Ｅ厶
奘	爿士大
奚	爫幺大
奠	酋大Ｄ
奢	大者Ｓ
奥	白米大
女	女ＮＶ
奴	女又Ｎ
奶	女乃Ｎ
奸	女干Ｊ
她	女也Ｔ
好	女子Ｈ
妁	女勹丶
如	女口Ｒ
妃	女己Ｆ
妄	亡女Ｗ
妆	丬女Ｚ
妇	女彐Ｆ
妈	女马Ｍ
妊	女壬Ｒ
妍	女一廾
妒	女户Ｄ
妓	女十又
妖	女丿大
妗	女亽乛
妙	女少Ｍ
妞	女丑Ｎ
妣	女比Ｂ
妤	女龴丁
妥	爫女Ｔ
妨	女方Ｆ
妩	女干乚
妪	女匚乂
妫	女冫力
妮	女尸匕
妯	女由Ｚ
妲	女日一
妹	女未Ｍ
妻	十彐女
妾	立女Ｑ
姆	女母Ｍ
姊	女丿Ｓ
始	女厶口
姐	女且Ｊ
姑	女古Ｇ
姒	女以Ｓ
姓	女丿龶
委	禾女Ｗ
姗	女册Ｓ
姘	女首廾
姚	女ＫＫ
姜	<美上>女Ｊ
姝	女朱Ｓ
姣	女亠父
姥	女耂匕
姨	女大弓
姬	女匚丨
姹	女宀七
姻	女囗大
姿	冫欠女
威	戊一女
娃	女圭Ｗ
娄	米女Ｌ
娅	女亚Ｙ
娆	女戈儿
娇	女丿刂
娈	亦女Ｌ
娉	女由丂
娌	女里Ｌ
娑	氵少女
娓	女尸毛
娘	女丶艮
娜	女月阝
娟	女口冃
娠	女厂ｒ
娣	女丷弓
娥	女手戈
娩	女刀儿
娱	女口大
娲	女口内
娴	女门木
娶	耳又女
娼	女日日
婀	女阝可
婆	氵皮女
婉	女宀㔾
婊	女龶ｒ
婕	女一止
婚	女Ｃ日
婢	女卑卑
婧	女青Ｊ
婪	林女Ｌ
婴	贝贝女
婵	女丷十
婶	女宀丨
婷	女亮丁
婺	龴攵女
婿	女乛冃
媒	女廿木
媚	女尸目
媛	女爫又
媪	女日皿
媲	女白比
媳	女丿心
媵	月龹女
媸	女屮虫
媾	女井冂
嫁	女宀豕
嫂	女叟Ｓ
嫉	女疒矢
嫌	女首兼
嫒	女爱爱
嫔	女穴丘
嫖	女覀示
嫘	女田小
嫜	女章Ｚ
嫠	未厂女
嫡	女啇Ｄ
嫣	女一Ｓ
嫦	女尚巾
嫩	女木攵
嫫	女莫Ｍ
嫱	女十囗
嬉	女吉口
嬖	尸辛女
嬗	女亠一
嬴	赢赢女
嬷	女广厶
孀	女雨目
子	子ＺＩ
孑	孑ＪＥ
孓	乛亅丶
孔	子乚Ｋ
孕	乃子Ｙ
字	宀子Ｚ
存	Ｐ子Ｃ
孙	子小Ｓ
孚	爫子Ｆ
孛	十冖子
孜	子攵Ｚ
孝	耂子Ｘ
孟	子皿Ｍ
孢	子包Ｂ
季	禾子Ｊ
孤	子瓜Ｇ
孥	女又子
学	学子Ｘ
孩	子亥Ｈ
孪	亦子Ｌ
孬	不女子
孰	高子九
孱	尸子子
孳	首幺子
孵	Ｇ爫子
孺	子雨皿
孽	艹追子
宁	宁ＮＧ
它	宀匕Ｔ
宄	宀九Ｇ
宅	宀丿七
宇	宀于Ｙ
守	宀寸Ｓ
安	安安Ａ
宋	宀木Ｓ
完	宀元Ｗ
宏	宀厂厶
宓	宀心丿
宕	宀石Ｄ
宗	宀示Ｚ
官	宀官Ｇ
宙	宀由Ｚ
定	宀一止
宛	宀夕㔾
宜	宀且Ｙ
宝	宀王丶
实	宀头Ｓ
宠	宀龙Ｃ
审	宀日丨
客	宀各Ｋ
宣	宀一一
室	宀一土
宥	宀厂冃
宦	宀匚丨
宪	宀牛儿
宫	宀口口
宰	宀辛Ｚ
害	宀丰口
宴	宀日女
宵	宀Ｍ冃
家	宀豕Ｊ
宸	宀厂ｒ
容	宀谷Ｒ
宽	宀艹见
宾	穴丘Ｂ
宿	宀亻日
寂	宀小又
寄	宀大可
寅	穴一由
密	宀心山
寇	宀元卜
富	宀畐Ｆ
寐	宀爿未
寒	宀井冫
寓	宀甲冂
寝	宀丬又
寞	宀莫Ｍ
察	宀祭示
寡	宀丆分
寤	宀爿口
寥	宀羽彡
寨	宀井朩
寮	宀大小
寰	宀罒ｒ
寸	寸ＣＮ
对	又寸Ｄ
寺	土寸Ｓ
寻	彐寸Ｘ
导	巳寸Ｄ
寿	丰寸Ｓ
封	圭寸Ｆ
射	身寸Ｓ
将	丬夕寸
尉	尸示寸
尊	酋寸Ｚ
小	小ＸＯ
少	少ＳＯ
