name	pinyin	importance
阿里妈妈	a1 li3 ma1 ma1	100
阿联酋	a1 lian2 qiu2	100
阿罗汉	a1 luo2 han4	100
阿妈	a1 ma1	100
阿曼	a1 man4	100
阿妹	a1 mei4	100
阿门	a1 men2	100
阿蒙	a1 meng2	100
阿弥陀佛	e1 mi2 tuo2 fo2	100
阿绵花屎	a1 mian2 hua1 shi3	100
阿莫西林	a1 mo4 xi1 lin2	100
阿姆斯特丹	a1 mu3 si1 te4 dan1	100
阿娜	a1 na4	100
阿娜多姿	a1 na4 duo1 zi1	100
阿牛	a1 niu2	100
阿诺	a1 nuo4	100
阿帕奇	a1 pa4 qi2	100
阿毗达磨	a1 pi2 da2 mo2	100
阿毗地狱	a1 pi2 di4 yu4	100
阿片	a1 pian4	100
阿婆	a1 po2	100
阿其所好	e1 qi2 suo3 hao4	100
阿塞拜疆	a1 sai4 bai4 jiang1	100
阿瑟	a1 se4	100
阿婶	a1 shen3	100
阿时趋俗	a1 shi2 qu1 su2	100
阿是穴	a1 shi4 xue2	100
阿叔	a1 shu1	100
阿衰	a1 shuai1	100
阿顺取容	a1 shun4 qu3 rong2	100
阿司匹林	a1 si1 pi3 lin2	100
阿私所好	a1 si1 suo3 hao3	100
阿维	a1 wei2	100
阿魏无真	a1 wei4 wu2 zhen1	100
阿武	a1 wu3	100
阿信	a1 xin4	100
阿星	a1 xing1	100
阿雅	a1 ya3	100
阿姨	a1 yi2	100
阿意取容	a1 yi4 qu3 rong2	100
阿意顺旨	a1 yi4 shun4 zhi3	100
阿谀	e1 yu2	100
阿谀谄媚	e1 yu2 chan3 mei4	100
阿谀承迎	e1 yu2 cheng2 ying2	100
阿谀逢迎	e1 yu2 feng2 ying2	100
阿谀奉承	e1 yu2 feng4 cheng2	100
阿谀奉迎	e1 yu2 feng4 ying2	100
阿谀求容	e1 yu2 qiu2 rong2	100
阿谀曲从	e1 yu2 qu3 cong2	100
阿谀取容	e1 yu2 qu3 rong2	100
阿谀顺旨	e1 yu2 shun4 zhi3	100
阿紫	a1 zi3	100
阿尊事贵	a1 zun1 shi4 gui4	100
啊哈	a1 ha1	100
哎呀	ai1 ya1	100
哎哟	ai1 yo1	100
哀哀父母	ai1 ai1 fu4 mu3	100
哀哀欲绝	ai1 ai1 yu4 jue2	100
哀兵必胜	ai1 bing1 bi4 sheng4	100
哀愁	ai1 chou2	100
哀辞	ai1 ci2	100
哀悼	ai1 dao4	100
哀而不伤	ai1 er2 bu4 shang1	100
哀感天地	ai1 gan3 tian1 di4	100
哀感顽艳	ai1 gan3 wan2 yan4	100
哀感中年	ai1 gan3 zhong1 nian2	100
哀告	ai1 gao4	100
哀告宾服	ai1 gao4 bin1 fu2	100
哀嚎	ai1 hao2	100
哀号	ai1 hao2	100
哀鸿遍地	ai1 hong2 bian4 di4	100
哀鸿遍野	ai1 hong2 bian4 ye3	100
哀鸿满路	ai1 hong2 man3 lu4	100
哀毁瘠立	ai1 hui3 ji2 li4	100
哀家	ai1 jia1	100
哀叫	ai1 jiao4	100
哀矜	ai1 jin1	100
哀矜惩创	ai1 jin1 cheng2 chuang4	100
哀矜勿喜	ai1 jin1 wu4 xi3	100
哀苦	ai1 ku3	100
哀乐	ai1 yue4	100
哀乐相生	ai1 yue4 xiang1 sheng1	100
哀乐中节	ai1 yue4 zhong1 jie2	100
哀梨并剪	ai1 li2 bing4 jian3	100
哀梨蒸食	ai1 li2 zheng1 shi2	100
哀怜	ai1 lian2	100
哀鸣	ai1 ming2	100
哀莫大于心死	ai1 mo4 da4 yu2 xin1 si3	100
哀戚之情	ai1 qi1 zhi1 qing2	100
哀其不幸	ai1 qi2 bu4 xing4	100
哀启	ai1 qi3	100
哀泣	ai1 qi4	100
哀切	ai1 qie4	100
哀穷悼屈	ai1 qiong2 dao4 qu1	100
哀求	ai1 qiu2	100
哀荣	ai1 rong2	100
哀伤	ai1 shang1	100
哀声叹气	ai1 sheng1 tan4 qi4	100
哀思	ai1 si1	100
哀思如潮	ai1 si1 ru2 chao2	100
哀死事生	ai1 si3 shi4 sheng1	100
哀诉	ai1 su4	100
哀叹	ai1 tan4	100
哀天叫地	ai1 tian1 jiao4 di4	100
哀恸	ai1 tong4	100
哀痛	ai1 tong4	100
哀痛欲绝	ai1 tong4 yu4 jue2	100
哀婉	ai1 wan3	100
哀喜交并	ai1 xi3 jiao1 bing4	100
哀艳	ai1 yan4	100
哀怨	ai1 yuan4	100
唉声叹气	ai1 sheng1 tan4 qi4	100
唉哟	ai4 yo1	100
埃博拉出血热	ai1 bo2 la1 chu1 xue4 re4	100
埃及	ai1 ji2	100
埃里克森	ai1 li3 ke4 sen1	100
埃塞俄比亚	ai1 sai4 e2 bi3 ya4	100
挨边	ai1 bian1	100
挨次	ai1 ci4	100
挨打	ai2 da3	100
挨打受骂	ai2 da3 shou4 ma4	100
挨冻	ai2 dong4	100
挨饿	ai2 e4	100
挨个	ai1 ge4	100
挨个儿	ai1 ge4 er2	100
挨家挨户	ai1 jia1 ai1 hu4	100
挨肩擦背	ai1 jian1 ca1 bei4	100
挨肩迭背	ai1 jian1 die2 bei4	100
挨肩叠背	ai1 jian1 die2 bei4	100
挨肩叠足	ai1 jian1 die2 zu2	100
挨肩儿	ai1 jian1 er5	100
挨近	ai1 jin4	100
挨了	ai1 le5	100
挨骂	ai2 ma4	100
挨门挨户	ai1 men2 ai1 hu4	100
挨门逐户	ai1 men2 zhu2 hu4	100
挨批	ai2 pi1	100
挨三顶四	ai1 san1 ding3 si4	100
挨三顶五	ai1 san1 ding3 wu3	100
挨山塞海	ai1 shan1 se4 hai3	100
挨丝切缝	ai1 si1 qie4 feng4	100
挨宰	ai2 zai3	100
挨着	ai1 zhe5	100
挨整	ai2 zheng3	100
挨揍	ai2 zou4	100
嗳酸	ai3 suan1	100
捱三顶四	ai2 san1 ding3 si4	100
癌细胞	ai2 xi4 bao1	100
癌症	ai2 zheng4	100
矮个	ai3 ge4	100
矮墙	ai3 qiang2	100
矮人	ai3 ren2	100
矮人观场	ai3 ren2 guan1 chang3	100
矮人看场	ai3 ren2 kan4 chang3	100
矮小	ai3 xiao3	100
矮星	ai3 xing1	100
矮子	ai3 zi3	100
矮子观场	ai3 zi3 guan1 chang3	100
矮子看戏	ai3 zi3 kan4 xi4	100
矮子里选将军	ai3 zi3 li3 xuan3 jiang1 jun1	100
蔼然	ai3 ran2	100
蔼然可亲	ai3 ran2 ke3 qin1	100
蔼然仁者	ai3 ran2 ren2 zhe3	100
艾尔	ai4 er3	100
艾发衰容	ai4 fa1 shuai1 rong2	100
艾虎	ai4 hu3	100
艾诺	ai4 nuo4	100
艾绒	ai4 rong2	100
艾瑞	ai4 rui4	100
艾森豪威尔	ai4 sen1 hao2 wei1 er3	100
艾特	ai4 te4	100
艾窝窝	ai4 wo1 wo1	100
艾叶豹	ai4 ye4 bao4	100
艾鼬	ai4 you4	100
艾滋	ai4 zi1	100
艾滋病	ai4 zi1 bing4	100
爱别离苦	ai4 bie2 li2 ku3	100
爱不忍释	ai4 bu4 ren3 shi4	100
爱不释手	ai4 bu4 shi4 shou3	100
爱才如渴	ai4 cai2 ru2 ke3	100
爱才如命	ai4 cai2 ru2 ming4	100
爱财	ai4 cai2	100
爱财如命	ai4 cai2 ru2 ming4	100
爱巢	ai4 chao2	100
爱车	ai4 che1	100
爱称	ai4 cheng1	100
爱城	ai4 cheng2	100
爱吃	ai4 chi1	100
爱答不理	ai4 da1 bu4 li3	100
爱戴	ai4 dai4	100
爱到	ai4 dao4	100
爱得	ai4 de2	100
爱德华	ai4 de2 hua2	100
爱迪生	ai4 di2 sheng1	100
爱尔兰	ai4 er3 lan2	100
爱妃	ai4 fei1	100
爱非其道	ai4 fei1 qi2 dao4	100
爱抚	ai4 fu3	100
爱岗	ai4 gang3	100
爱国	ai4 guo2	100
爱国热情	ai4 guo2 re4 qing2	100
爱国人士	ai4 guo2 ren2 shi4	100
爱国如家	ai4 guo2 ru2 jia1	100
爱国卫生运动	ai4 guo2 wei4 sheng1 yun4 dong4	100
爱国运动	ai4 guo2 yun4 dong4	100
爱国者	ai4 guo2 zhe3	100
爱国主义	ai4 guo2 zhu3 yi4	100
爱国主义精神	ai4 guo2 zhu3 yi4 jing1 shen2	100
爱过	ai4 guo4	100
爱好	ai4 hao4	100
爱好者	ai4 hao4 zhe3	100
爱河	ai4 he2	100
爱鹤失众	ai4 he4 shi1 zhong4	100
爱恨	ai4 hen4	100
爱恨情仇	ai4 hen4 qing2 chou2	100
爱护	ai4 hu4	100
爱护公物	ai4 hu4 gong1 wu4	100
爱火	ai4 huo3	100
爱家	ai4 jia1	100
爱将	ai4 jiang4	100
爱看	ai4 kan4	100
爱克斯射线	ai4 ke4 si1 she4 xian4	100
爱哭	ai4 ku1	100
爱老慈幼	ai4 lao3 ci2 you4	100
爱乐	ai4 le4	100
爱礼存羊	ai4 li3 cun2 yang2	100
爱理不理	ai4 li3 bu4 li3	100
爱立信	ai4 li4 xin4	100
爱怜	ai4 lian2	100
爱恋	ai4 lian4	100
爱侣	ai4 lv3	100
爱毛反裘	ai4 mao2 fan3 qiu2	100
爱美	ai4 mei3	100
爱美之心	ai4 mei3 zhi1 xin1	100
爱面子	ai4 mian4 zi3	100
爱民	ai4 min2	100
爱民如子	ai4 min2 ru2 zi3	100
爱莫能助	ai4 mo4 neng2 zhu4	100
爱莫之助	ai4 mo4 zhi1 zhu4	100
爱莫助之	ai4 mo4 zhu4 zhi1	100
爱慕	ai4 mu4	100
爱慕虚荣	ai4 mu4 xu1 rong2	100
爱你	ai4 ni3	100
爱女	ai4 nv3	100
爱妻	ai4 qi1	100
爱钱如命	ai4 qian2 ru2 ming4	100
爱墙	ai4 qiang2	100
爱妾	ai4 qie4	100
爱卿	ai4 qing1	100
爱情	ai4 qing2	100
爱犬	ai4 quan3	100
爱人	ai4 ren2	100
爱人民	ai4 ren2 min2	100
爱人如己	ai4 ren2 ru2 ji3	100
爱人以德	ai4 ren2 yi3 de2	100
爱日惜力	ai4 ri4 xi1 li4	100
爱如己出	ai4 ru2 ji3 chu1	100
爱如珍宝	ai4 ru2 zhen1 bao3	100
爱沙尼亚	ai4 sha1 ni2 ya4	100
爱上	ai4 shang4	100
爱上层楼	ai4 shang4 ceng2 lou2	100
爱神	ai4 shen2	100
爱手反裘	ai4 shou3 fan3 qiu2	100
爱说	ai4 shuo1	100
爱斯基摩	ai4 si1 ji1 mo2	100
爱斯基摩人	ai4 si1 ji1 mo2 ren2	100
爱他	ai4 ta1	100
爱她	ai4 ta1	100
爱听	ai4 ting1	100
爱玩	ai4 wan2	100
爱问	ai4 wen4	100
爱窝窝	ai4 wo1 wo1	100
爱我所爱	ai4 wo3 suo3 ai4	100
爱屋及乌	ai4 wu1 ji2 wu1	100
爱惜	ai4 xi1	100
爱惜羽毛	ai4 xi1 yu3 mao2	100
爱小	ai4 xiao3	100
爱笑	ai4 xiao4	100
爱心	ai4 xin1	100
爱液	ai4 ye4	100
爱意	ai4 yi4	100
爱因斯坦	ai4 yin1 si1 tan3	100
爱欲	ai4 yu4	100
爱远恶近	ai4 yuan3 wu4 jin4	100
爱憎	ai4 zeng1	100
爱憎分明	ai4 zeng1 fen1 ming2	100
爱者如宝	ai4 zhe3 ru2 bao3	100
爱着	ai4 zhe5	100
爱重	ai4 zhong4	100
爱滋病	ai4 zi1 bing4	100
爱子	ai4 zi3	100
隘口	ai4 kou3	100
隘路	ai4 lu4	100
碍口	ai4 kou3	100
碍口识羞	ai4 kou3 shi2 xiu1	100
碍面子	ai4 mian4 zi3	100
碍难	ai4 nan2	100
碍难从命	ai4 nan2 cong2 ming4	100
碍难遵命	ai4 nan2 zun1 ming4	100
碍事	ai4 shi4	100
碍手	ai4 shou3	100
碍手碍脚	ai4 shou3 ai4 jiao3	100
碍眼	ai4 yan3	100
碍于	ai4 yu2	100
暧昧	ai4 mei4	100
暧昧不明	ai4 mei4 bu4 ming2	100
安安	an1 an1	100
安安静静	an1 an1 jing4 jing4	100
安安稳稳	an1 an1 wen3 wen3	100
安安心心	an1 an1 xin1 xin1	100
安邦	an1 bang1	100
安邦定国	an1 bang1 ding4 guo2	100
安邦治国	an1 bang1 zhi4 guo2	100
安保	an1 bao3	100
安倍晋三	an1 bei4 jin4 san1	100
安不忘危	an1 bu4 wang4 wei1	100
安不忘虞	an1 bu4 wang4 yu2	100
安步当车	an1 bu4 dang4 che1	100
安瓿	an1 bu4	100
安插	an1 cha1	100
安常处顺	an1 chang2 chu4 shun4	100
安常习故	an1 chang2 xi2 gu4	100
安车软轮	an1 che1 ruan3 lun2	100
安厝	an1 cuo4	100
安道尔	an1 dao4 er3	100
安迪	an1 di2	100
安抵	an1 di3	100
安定	an1 ding4	100
安定团结	an1 ding4 tuan2 jie2	100
安定因素	an1 ding4 yin1 su4	100
安东尼奥	an1 dong1 ni2 ao4	100
安度	an1 du4	100
安度晚年	an1 du4 wan3 nian2	100
安顿	an1 dun4	100
安防	an1 fang2	100
安放	an1 fang4	100
安分	an1 fen4	100
安分守己	an1 fen4 shou3 ji3	100
安分守命	an1 fen4 shou3 ming4	100
安分随时	an1 fen4 sui2 shi2	100
安分循理	an1 fen4 xun2 li3	100
安分知足	an1 fen4 zhi1 zu2	100
安抚	an1 fu3	100
安哥拉	an1 ge1 la1	100
安故重迁	an1 gu4 zhong4 qian1	100
安好	an1 hao3	100
安徽	an1 hui1	100
安徽省	an1 hui1 sheng3	100
安吉	an1 ji2	100
安家	an1 jia1	100
安家立业	an1 jia1 li4 ye4	100
安家落户	an1 jia1 luo4 hu4	100
安监	an1 jian1	100
安检	an1 jian3	100
安静	an1 jing4	100
安居	an1 ju1	100
安居乐业	an1 ju1 le4 ye4	100
安凯	an1 kai3	100
安康	an1 kang1	100
安澜	an1 lan2	100
安老怀少	an1 lao3 huai2 shao4	100
安乐	an1 le4	100
安乐世界	an1 le4 shi4 jie4	100
安乐死	an1 le4 si3	100
安乐窝	an1 le4 wo1	100
安乐椅	an1 le4 yi3	100
安理会	an1 li3 hui4	100
安利	an1 li4	100
安联	an1 lian2	100
安曼	an1 man4	100
安眉带眼	an1 mei2 dai4 yan3	100
安谧	an1 mi4	100
安眠	an1 mian2	100
安眠药	an1 mian2 yao4	100
安民	an1 min2	100
安民告示	an1 min2 gao4 shi4	100
安娜	an1 na4	100
安难乐死	an1 nan2 le4 si3	100
安内攘外	an1 nei4 rang3 wai4	100
安能	an1 neng2	100
安妮	an1 ni1	100
安宁	an1 ning2	100
安排	an1 pai2	100
安培	an1 pei2	100
安培表	an1 pei2 biao3	100
安培计	an1 pei2 ji4	100
安贫乐道	an1 pin2 le4 dao4	100
安贫乐贱	an1 pin2 le4 jian4	100
安平	an1 ping2	100
安瓶	an1 ping2	100
安其所习	an1 qi2 suo3 xi2	100
安琪	an1 qi2	100
安琪儿	an1 qi2 er2	100
安寝	an1 qin3	100
安庆	an1 qing4	100
安全	an1 quan2	100
安全保障	an1 quan2 bao3 zhang4	100
安全玻璃	an1 quan2 bo1 li2	100
安全出口	an1 quan2 chu1 kou3	100
安全带	an1 quan2 dai4	100
安全岛	an1 quan2 dao3	100
安全第一	an1 quan2 di4 yi1	100
安全电压	an1 quan2 dian4 ya1	100
安全感	an1 quan2 gan3	100
安全检查	an1 quan2 jian3 cha2	100
安全局	an1 quan2 ju2	100
安全理事会	an1 quan2 li3 shi4 hui4	100
安全帽	an1 quan2 mao4	100
安全门	an1 quan2 men2	100
安全区	an1 quan2 qu1	100
安全套	an1 quan2 tao4	100
安全剃刀	an1 quan2 ti4 dao1	100
安全系数	an1 quan2 xi4 shu4	100
安全线	an1 quan2 xian4	100
安全性	an1 quan2 xing4	100
安然	an1 ran2	100
安然如故	an1 ran2 ru2 gu4	100
安然无事	an1 ran2 wu2 shi4	100
安然无恙	an1 ran2 wu2 yang4	100
安忍无亲	an1 ren3 wu2 qin1	100
安忍之怀	an1 ren3 zhi1 huai2	100
安如磐石	an1 ru2 pan2 shi2	100
安如泰山	an1 ru2 tai4 shan1	100
安若泰山	an1 ruo4 tai4 shan1	100
安上治民	an1 shang4 zhi4 min2	100
安设	an1 she4	100
安身	an1 shen1	100
安身乐业	an1 shen1 le4 ye4	100
安身立命	an1 shen1 li4 ming4	100
安身为乐	an1 shen1 wei2 le4	100
安身之处	an1 shen1 zhi1 chu4	100
安身之地	an1 shen1 zhi1 di4	100
安身之所	an1 shen1 zhi1 suo3	100
安神	an1 shen2	100
安生	an1 sheng1	100
安生服业	an1 sheng1 fu2 ye4	100
安史之乱	an1 shi3 zhi1 luan4	100
安世默识	an1 shi4 mo4 shi2	100
安适	an1 shi4	100
安适如常	an1 shi4 ru2 chang2	100
安睡	an1 shui4	100
安顺	an1 shun4	100
安踏	an1 ta4	100
安胎	an1 tai1	100
安泰	an1 tai4	100
安腾	an1 teng2	100
安提瓜	an1 ti2 gua1	100
安恬	an1 tian2	100
安帖	an1 tie1	100
安徒生	an1 tu2 sheng1	100
安土息民	an1 tu3 xi1 min2	100
安土重旧	an1 tu3 zhong4 jiu4	100
安妥	an1 tuo3	100
安危	an1 wei1	100
安危与共	an1 wei1 yu3 gong4	100
安慰	an1 wei4	100
安稳	an1 wen3	100
安卧	an1 wo4	100
安息	an1 xi1	100
安息日	an1 xi1 ri4	100
安溪	an1 xi1	100
安闲	an1 xian2	100
安闲自得	an1 xian2 zi4 de2	100
安闲自在	an1 xian2 zi4 zai4	100
安乡	an1 xiang1	100
安详	an1 xiang2	100
安享	an1 xiang3	100
安歇	an1 xie1	100
安心	an1 xin1	100
安心定志	an1 xin1 ding4 zhi4	100
安心乐业	an1 xin1 le4 ye4	100
安心乐意	an1 xin1 le4 yi4	100
安心立命	an1 xin1 li4 ming4	100
安心落意	an1 xin1 luo4 yi4	100
安心恬荡	an1 xin1 tian2 dang4	100
安信	an1 xin4	100
安阳	an1 yang2	100
安邑	an1 yi4	100
安逸	an1 yi4	100
安营	an1 ying2	100
安营下寨	an1 ying2 xia4 zhai4	100
安营扎寨	an1 ying2 zha1 zhai4	100
安于覆盂	an1 yu2 fu4 yu2	100
安于故俗	an1 yu2 gu4 su2	100
安于所习	an1 yu2 suo3 xi2	100
安于现状	an1 yu2 xian4 zhuang4	100
安在	an1 zai4	100
安葬	an1 zang4	100
安贞	an1 zhen1	100
安枕	an1 zhen3	100
安之若固	an1 zhi1 ruo4 gu4	100
安之若命	an1 zhi1 ruo4 ming4	100
安之若素	an1 zhi1 ruo4 su4	100
安知非福	an1 zhi1 fei1 fu2	100
安置	an1 zhi4	100
安置工作	an1 zhi4 gong1 zuo4	100
安装	an1 zhuang1	100
安卓	an1 zhuo2	100
安坐待毙	an1 zuo4 dai4 bi4	100
桉树	an1 shu4	100
氨化	an1 hua4	100
氨基	an1 ji1	100
氨基酸	an1 ji1 suan1	100
氨气	an1 qi4	100
氨水	an1 shui3	100
氨酸	an1 suan1	100
庵堂	an1 tang2	100
庵子	an1 zi3	100
谙达	an1 da2	100
谙练	an1 lian4	100
谙熟	an1 shu2	100
鹌鹑	an1 chun2	100
鞍不离马	an1 bu4 li2 ma3	100
鞍钢	an1 gang1	100
鞍甲之劳	an1 jia3 zhi1 lao2	100
鞍鞯	an1 jian1	100
鞍马	an1 ma3	100
鞍马劳顿	an1 ma3 lao2 dun4	100
鞍马劳倦	an1 ma3 lao2 juan4	100
鞍马之劳	an1 ma3 zhi1 lao2	100
鞍前马后	an1 qian2 ma3 hou4	100
鞍山	an1 shan1	100
俺家	an3 jia1	100
俺们	an3 men5	100
铵根	an3 gen1	100
铵盐	an3 yan2	100
岸边	an4 bian1	100
岸标	an4 biao1	100
岸谷之变	an4 gu3 zhi1 bian4	100
岸炮	an4 pao4	100
岸然	an4 ran2	100
岸上	an4 shang4	100
岸芷汀兰	an4 zhi3 ting1 lan2	100
按比例	an4 bi3 li4	100
按兵不动	an4 bing1 bu4 dong4	100
按兵不举	an4 bing1 bu4 ju3	100
按步就班	an4 bu4 jiu4 ban1	100
按部就班	an4 bu4 jiu4 ban1	100
按此	an4 ci3	100
按堵如故	an4 du3 ru2 gu4	100
按计划	an4 ji4 hua4	100
按甲不出	an4 jia3 bu4 chu1	100
按甲寝兵	an4 jia3 qin3 bing1	100
按甲休兵	an4 jia3 xiu1 bing1	100
按键	an4 jian4	100
按揭	an4 jie1	100
按金	an4 jin1	100
按扣儿	an4 kou4 er5	100
按劳分配	an4 lao2 fen1 pei4	100
按劳取酬	an4 lao2 qu3 chou2	100
按理	an4 li3	100
按理说	an4 li3 shuo1	100
按例	an4 li4	100
按铃	an4 ling2	100
按脉	an4 mai4	100
按摩	an4 mo2	100
按纳不下	an4 na4 bu4 xia4	100
按纳不住	an4 na4 bu4 zhu4	100
按捺	an4 na4	100
按捺不下	an4 na4 bu4 xia4	100
按捺不住	an4 na4 bu4 zhu4	100
按耐不住	an4 nai4 bu4 zhu4	100
按年	an4 nian2	100
按钮	an4 niu3	100
按辔徐行	an4 pei4 xu2 hang2	100
按期	an4 qi1	100
按期归还	an4 qi1 gui1 huan2	100
按强助弱	an4 qiang2 zhu4 ruo4	100
按日	an4 ri4	100
按上	an4 shang4	100
按时	an4 shi2	100
按时完成	an4 shi2 wan2 cheng2	100
按说	an4 shuo1	100
按图索骥	an4 tu2 suo3 ji4	100
按下	an4 xia4	100
按下葫芦浮起瓢	an4 xia4 hu2 lu2 fu2 qi3 piao2	100
按响	an4 xiang3	100
按行自抑	an4 xing2 zi4 yi4	100
按需分配	an4 xu1 fen1 pei4	100
按压	an4 ya1	100
按语	an4 yu3	100
按月	an4 yue4	100
按照	an4 zhao4	100
按着	an4 zhe5	100
按住	an4 zhu4	100
案板	an4 ban3	100
案兵束甲	an4 bing1 shu4 jia3	100
案兵无动	an4 bing1 wu2 dong4	100
案场	an4 chang3	100
案底	an4 di3	100
案牍	an4 du2	100
案牍劳形	an4 du2 lao2 xing2	100
案牍之劳	an4 du2 zhi1 lao2	100
案发	an4 fa1	100
案犯	an4 fan4	100
案几	an4 ji1	100
案甲休兵	an4 jia3 xiu1 bing1	100
案件	an4 jian4	100
案卷	an4 juan4	100
案例	an4 li4	100
案情	an4 qing2	100
案首	an4 shou3	100
案头	an4 tou2	100
案头工作	an4 tou2 gong1 zuo4	100
案由	an4 you2	100
案语	an4 yu3	100
案值	an4 zhi2	100
案子	an4 zi5	100
暗暗	an4 an4	100
暗堡	an4 bao3	100
暗补香瘢	an4 bu3 xiang1 ban1	100
暗藏	an4 cang2	100
暗藏春色	an4 cang2 chun1 se4	100
暗藏杀机	an4 cang2 sha1 ji1	100
暗娼	an4 chang1	100
暗场	an4 chang3	100
暗潮	an4 chao2	100
暗处	an4 chu4	100
暗疮	an4 chuang1	100
暗垂珠露	an4 chui2 zhu1 lu4	100
暗锤打人	an4 chui2 da3 ren2	100
暗忖	an4 cun3	100
暗淡	an4 dan4	100
暗淡无光	an4 dan4 wu2 guang1	100
暗道	an4 dao4	100
暗地	an4 di4	100
暗地里	an4 di4 li3	100
暗度陈仓	an4 du4 chen2 cang1	100
暗度金针	an4 du4 jin1 zhen1	100
暗渡陈仓	an4 du4 chen2 cang1	100
暗房	an4 fang2	100
暗访	an4 fang3	100
暗讽	an4 feng3	100
暗格	an4 ge2	100
暗沟	an4 gou1	100
暗害	an4 hai4	100
暗含	an4 han2	100
暗号	an4 hao4	100
暗合	an4 he2	100
暗盒	an4 he2	100
暗黑	an4 hei1	100
暗红	an4 hong2	100
暗花儿	an4 hua1 er5	100
暗黄	an4 huang2	100
暗火	an4 huo3	100
暗疾	an4 ji2	100
暗记儿	an4 ji4 er2	100
暗箭	an4 jian4	100
暗箭难防	an4 jian4 nan2 fang2	100
暗箭伤人	an4 jian4 shang1 ren2	100
暗箭中人	an4 jian4 zhong1 ren2	100
暗礁	an4 jiao1	100
暗礁险滩	an4 jiao1 xian3 tan1	100
暗叫	an4 jiao4	100
暗井	an4 jing3	100
暗亏	an4 kui1	100
暗里	an4 li3	100
暗恋	an4 lian4	100
暗流	an4 liu2	100
暗柳啼鸦	an4 liu3 ti2 ya1	100
暗码	an4 ma3	100
暗骂	an4 ma4	100
暗昧	an4 mei4	100
暗昧之事	an4 mei4 zhi1 shi4	100
暗门	an4 men2	100
暗盘	an4 pan2	100
暗欺罗袖	an4 qi1 luo2 xiu4	100
暗气暗恼	an4 qi4 an4 nao3	100
暗器	an4 qi4	100
暗渠	an4 qu2	100
暗弱	an4 ruo4	100
暗杀	an4 sha1	100
暗沙	an4 sha1	100
暗伤	an4 shang1	100
暗哨	an4 shao4	100
暗射地图	an4 she4 di4 tu2	100
暗示	an4 shi4	100
暗事	an4 shi4	100
暗室	an4 shi4	100
暗室不欺	an4 shi4 bu4 qi1	100
暗室逢灯	an4 shi4 feng2 deng1	100
暗室欺心	an4 shi4 qi1 xin1	100
暗室私心	an4 shi4 si1 xin1	100
暗室屋漏	an4 shi4 wu1 lou4	100
暗送秋波	an4 song4 qiu1 bo1	100
暗算	an4 suan4	100
暗锁	an4 suo3	100
暗滩	an4 tan1	100
暗叹	an4 tan4	100
暗探	an4 tan4	100
暗通款曲	an4 tong1 kuan3 qu1	100
暗纹	an4 wen2	100
